lost_track_buffer,track_activation_threshold,minimum_consecutive_frames,minimum_iou_threshold,high_conf_det_threshold,HOTA,IDF1,MOTA
60,0.9,3,0.3,0.6,0.6183722321303233,0.6052740824742566,0.9380248187315507
60,0.9,3,0.3,0.7,0.6209404109473455,0.6094071422991572,0.9362909466082022
60,0.9,3,0.3,0.9,0.6233959556711417,0.6115987778566153,0.9316453156793626
90,0.2,1,0.05,0.5,0.6086270013395033,0.5923663386404321,0.9407245006161694
90,0.2,1,0.05,0.6,0.6106620296820122,0.6021940913877862,0.9448943914252143
90,0.2,1,0.05,0.7,0.6227626826288013,0.6227165615712735,0.9479838362995443
90,0.2,1,0.05,0.9,0.6188180936546844,0.6236231039434506,0.9339151119135644
90,0.2,1,0.1,0.5,0.6098646951164572,0.5952735492910608,0.9412546929183504
90,0.2,1,0.1,0.6,0.6123140576615848,0.603389560698834,0.9447654257300891
90,0.2,1,0.1,0.7,0.6230055445228617,0.6232583057744671,0.9481213997076777
90,0.2,1,0.1,0.9,0.6243362827142602,0.628820594887675,0.935399650359671
90,0.2,1,0.3,0.5,0.6007890720513858,0.5644335101466176,0.9446765826956696
90,0.2,1,0.3,0.6,0.6042866386192557,0.5733787714879856,0.9472157739374659
90,0.2,1,0.3,0.7,0.6162950962010866,0.5941182436727621,0.9497291720402373
90,0.2,1,0.3,0.9,0.6242211675026379,0.6117693003073585,0.933829134783481
90,0.2,3,0.05,0.5,0.6082176034078284,0.5924214470210893,0.9398131430372855
90,0.2,3,0.05,0.6,0.6101348583840825,0.6021327604237066,0.9437079070300634
90,0.2,3,0.05,0.7,0.6221433821350589,0.622553821977135,0.9466053363138739
90,0.2,3,0.05,0.9,0.618148925425327,0.6233839536529558,0.9324334393717938
90,0.2,3,0.1,0.5,0.6094480632911587,0.5953469349499632,0.9402544923050469
90,0.2,3,0.1,0.6,0.6117876637902038,0.6033530364303339,0.9434786346831743
90,0.2,3,0.1,0.7,0.6223753966892298,0.623108267500353,0.9466454589745794
90,0.2,3,0.1,0.9,0.6236465784050188,0.6286010818061711,0.9338577938268421
90,0.2,3,0.3,0.5,0.6003469347625294,0.5646844279811939,0.9433783280314103
90,0.2,3,0.3,0.6,0.6037044700656607,0.5734458599089813,0.9455822084658814
90,0.2,3,0.3,0.7,0.6155839466697278,0.5940947849807675,0.9477316367179663
90,0.2,3,0.3,0.9,0.6233959556711417,0.6115987778566153,0.9316453156793626
90,0.5,1,0.05,0.5,0.6086270013395033,0.5923663386404321,0.9407245006161694
90,0.5,1,0.05,0.6,0.6106620296820122,0.6021940913877862,0.9448943914252143
90,0.5,1,0.05,0.7,0.6227626826288013,0.6227165615712735,0.9479838362995443
90,0.5,1,0.05,0.9,0.6188180936546844,0.6236231039434506,0.9339151119135644
90,0.5,1,0.1,0.5,0.6098646951164572,0.5952735492910608,0.9412546929183504
90,0.5,1,0.1,0.6,0.6123140576615848,0.603389560698834,0.9447654257300891
90,0.5,1,0.1,0.7,0.6230055445228617,0.6232583057744671,0.9481213997076777
90,0.5,1,0.1,0.9,0.6243362827142602,0.628820594887675,0.935399650359671
90,0.5,1,0.3,0.5,0.6007890720513858,0.5644335101466176,0.9446765826956696
90,0.5,1,0.3,0.6,0.6042866386192557,0.5733787714879856,0.9472157739374659
90,0.5,1,0.3,0.7,0.6162950962010866,0.5941182436727621,0.9497291720402373
