lost_track_buffer,track_activation_threshold,minimum_consecutive_frames,minimum_iou_threshold,HOTA,IDF1,MOTA
30,0.5,2,0.1,0.5589272666477771,0.5260875711552377,0.9129997420686098
30,0.5,2,0.3,0.5709084078732831,0.5330900147454442,0.9220617315793999
30,0.5,2,0.5,0.5144638272439023,0.4407745700743598,0.9260510704152696
30,0.5,2,0.7,0.2553533050621408,0.16436731028823226,0.8184191671682
30,0.5,3,0.05,0.5610425338329176,0.5314783885575931,0.9108445820078526
30,0.5,3,0.1,0.5622310375200509,0.5332244856737685,0.9127590061043762
30,0.5,3,0.3,0.5710175782538919,0.5335455370206545,0.9219929498753332
30,0.5,3,0.5,0.5151256266166309,0.4437255995538204,0.9223769810563723
30,0.5,3,0.7,0.2533113226071841,0.16930427452452299,0.7746510761470782
30,0.5,5,0.05,0.5623379401867717,0.5367648610214407,0.908477345026223
30,0.5,5,0.1,0.5622819914076206,0.5374872197858839,0.9104892098701746
30,0.5,5,0.3,0.5735272475105674,0.5402570749468857,0.9189350299487004
30,0.5,5,0.5,0.5149199398766197,0.4512940680790769,0.9121772275241452
30,0.5,5,0.7,0.24752496693764053,0.17584080972396365,0.6991516923165104
30,0.75,2,0.05,0.5656042002775737,0.5412790852728194,0.9183589831771416
30,0.75,2,0.1,0.5665332144902165,0.5435730658904978,0.9207806723411572
30,0.75,2,0.3,0.5782912847528588,0.5473270060006421,0.9310921961424927
30,0.75,2,0.5,0.522663574058876,0.45365602103888797,0.9310262803427621
30,0.75,2,0.7,0.25652437144312673,0.16655339355271392,0.8188834436706502
30,0.75,3,0.05,0.5658570980738095,0.5439630359249525,0.9175507981543576
30,0.75,3,0.1,0.5672744445750058,0.5468152032192932,0.9200813916831456
30,0.75,3,0.3,0.577256730418666,0.5469205758878839,0.9299429685037114
30,0.75,3,0.5,0.5218372476150084,0.4547882531404322,0.9260252772762445
30,0.75,3,0.7,0.2541858607568286,0.1711979681455461,0.7746367466253976
30,0.75,5,0.05,0.567126269108108,0.5483236216374047,0.9147106869572693
30,0.75,5,0.1,0.5681266196124005,0.5489201286438861,0.916751210844582
30,0.75,5,0.3,0.5845027842630842,0.5595884261940094,0.9263118677098559
30,0.75,5,0.5,0.5215041893619015,0.45924449253809074,0.914498610036397
30,0.75,5,0.7,0.24812244083914506,0.17707297187117815,0.6981314303728542
30,0.9,2,0.05,0.5961835895706198,0.5925603691667306,0.9309001805519732
30,0.9,2,0.1,0.5980890882487087,0.5948830540498595,0.9313128707763735
30,0.9,2,0.3,0.607728986813603,0.592596088526583,0.9339924913306393
30,0.9,2,0.5,0.5345587733548354,0.47695651543912015,0.922468689995128
30,0.9,2,0.7,0.2531970729773959,0.17064916228127266,0.7766801364170464
30,0.9,3,0.05,0.5955739494856175,0.592431737068892,0.9293841171581693
30,0.9,3,0.1,0.5974784838219424,0.5947447485968228,0.9297767460522168
30,0.9,3,0.3,0.6069155850248631,0.5922397240561681,0.9320494081907545
30,0.9,3,0.5,0.5336543143270311,0.4777945928972354,0.9171696328776545
30,0.9,3,0.7,0.25043373899556903,0.1744599903771703,0.7358295360100879
30,0.9,5,0.05,0.5939396764911249,0.5918081331274603,0.9261341816410168
30,0.9,5,0.1,0.5961033296117724,0.5945051241331246,0.9265783968131144
