lost_track_buffer,frame_rate,track_activation_threshold,minimum_consecutive_frames,minimum_iou_threshold,high_conf_det_threshold,HOTA,IDF1,MOTA
10,25.0,0.9,3,0.3,0.6,0.8392046493592673,0.7892538755251686,0.9622252053882527
10,25.0,0.9,3,0.3,0.7,0.8392046493592673,0.7892538755251686,0.9622252053882527
10,30.0,0.5,2,0.1,0.5,0.8584326219578026,0.805856220346742,0.9824789018311001
10,30.0,0.5,2,0.1,0.6,0.8584326219578026,0.805856220346742,0.9824789018311001
10,30.0,0.5,2,0.1,0.7,0.8584326219578026,0.805856220346742,0.9824789018311001
10,30.0,0.5,2,0.3,0.5,0.8411924535119655,0.7870678012445004,0.9670110040627448
10,30.0,0.5,2,0.3,0.6,0.8411924535119655,0.7870678012445004,0.9670110040627448
10,30.0,0.5,2,0.3,0.7,0.8411924535119655,0.7870678012445004,0.9670110040627448
10,30.0,0.5,3,0.1,0.5,0.8565072500456349,0.8068552729796804,0.9782565395455947
10,30.0,0.5,3,0.1,0.6,0.8565072500456349,0.8068552729796804,0.9782565395455947
10,30.0,0.5,3,0.1,0.7,0.8565072500456349,0.8068552729796804,0.9782565395455947
10,30.0,0.5,3,0.3,0.5,0.8392091085303138,0.7892504085746902,0.9622497619378938
10,30.0,0.5,3,0.3,0.6,0.8392091085303138,0.7892504085746902,0.9622497619378938
10,30.0,0.5,3,0.3,0.7,0.8392091085303138,0.7892504085746902,0.9622497619378938
10,30.0,0.7,2,0.1,0.5,0.8584326219578026,0.805856220346742,0.9824789018311001
10,30.0,0.7,2,0.1,0.6,0.8584326219578026,0.805856220346742,0.9824789018311001
10,30.0,0.7,2,0.1,0.7,0.8584326219578026,0.805856220346742,0.9824789018311001
10,30.0,0.7,2,0.3,0.5,0.8411924535119655,0.7870678012445004,0.9670110040627448
10,30.0,0.7,2,0.3,0.6,0.8411924535119655,0.7870678012445004,0.9670110040627448
10,30.0,0.7,2,0.3,0.7,0.8411924535119655,0.7870678012445004,0.9670110040627448
10,30.0,0.7,3,0.1,0.5,0.8565072500456349,0.8068552729796804,0.9782565395455947
10,30.0,0.7,3,0.1,0.6,0.8565072500456349,0.8068552729796804,0.9782565395455947
10,30.0,0.7,3,0.1,0.7,0.8565072500456349,0.8068552729796804,0.9782565395455947
10,30.0,0.7,3,0.3,0.5,0.8392091085303138,0.7892504085746902,0.9622497619378938
10,30.0,0.7,3,0.3,0.6,0.8392091085303138,0.7892504085746902,0.9622497619378938
10,30.0,0.7,3,0.3,0.7,0.8392091085303138,0.7892504085746902,0.9622497619378938
10,30.0,0.9,2,0.1,0.5,0.8584326219578026,0.805856220346742,0.9824789018311001
