tracker,state_estimator,lost_track_buffer,track_activation_threshold,minimum_consecutive_frames,minimum_iou_threshold,HOTA,IDF1,MOTA,output_dir
SORT,XCYCSR,30,0.5,5,0.7,0.43973092473557607,0.37896900759500735,0.7423622309352499,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.5_minimum_consecutive_frames-5_minimum_iou_threshold-0.7
SORT,XCYCSR,30,0.75,2,0.05,0.8469130928543906,0.7922010788338503,0.9845034529237301,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.75_minimum_consecutive_frames-2_minimum_iou_threshold-0.05
SORT,XCYCSR,30,0.75,2,0.1,0.842411546683289,0.7866888213085377,0.9815402959337083,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.75_minimum_consecutive_frames-2_minimum_iou_threshold-0.1
SORT,XCYCSR,30,0.75,2,0.3,0.7992689604294594,0.735195975344703,0.9641760868319595,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.75_minimum_consecutive_frames-2_minimum_iou_threshold-0.3
SORT,XCYCSR,30,0.75,2,0.5,0.6789681083806616,0.5960522587577183,0.9253699171352875,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.75_minimum_consecutive_frames-2_minimum_iou_threshold-0.5
SORT,XCYCSR,30,0.75,2,0.7,0.44982388551269353,0.3673868026214791,0.8004739414080726,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.75_minimum_consecutive_frames-2_minimum_iou_threshold-0.7
SORT,XCYCSR,30,0.75,3,0.05,0.84532934255902,0.7935172385334351,0.9798240659643493,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.75_minimum_consecutive_frames-3_minimum_iou_threshold-0.05
SORT,XCYCSR,30,0.75,3,0.1,0.8407212091815925,0.7882583957401937,0.9766085222141276,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.75_minimum_consecutive_frames-3_minimum_iou_threshold-0.1
SORT,XCYCSR,30,0.75,3,0.3,0.7978476973640474,0.7383067709708346,0.9580628702240922,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.75_minimum_consecutive_frames-3_minimum_iou_threshold-0.3
SORT,XCYCSR,30,0.75,3,0.5,0.6772213267401611,0.6007469848966822,0.9167683034971256,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.75_minimum_consecutive_frames-3_minimum_iou_threshold-0.5
SORT,XCYCSR,30,0.75,3,0.7,0.4465434994053606,0.3740373105718328,0.7823771285753655,SORT_outputs_soccernet_tuning_state_estimators/train_XCYCSR_lost_track_buffer-30_track_activation_threshold-0.75_minimum_consecutive_frames-3_minimum_iou_threshold-0.7
